,Blunder scores,Eval swings (first 10 moves),Eval swings std (middlegame),Eval swings mean (middlegame),Opening depth,Mean eval swings,Eval swing std,Mean time usage per move (%),Time usage std per move (%),Moves per game,"Mean time usage per move (%, middlegame)","Time usage std per move (%, middlegame)",Moves before time pressure,Type 1,Type 2,Type 3,Type 4
0,0.36363636363636365,0.0,,,9,,,,,16.5,,,0,U,H,T,V
0,0.19047619047619047,0.15,0.2942836338345324,0.272,8,0.3103658536585366,0.9489389072452616,1.1572750210260723,1.8924065459596,63.0,11.626666666666667,12.455017730483835,15,U,G,T,L
0,0.4,0.1,0.16811168448843306,0.13,8,0.4717391304347826,0.8867286772376165,4.268571428571429,4.085544542836706,18.75,17.657142857142855,15.366326535928852,14,U,G,T,L
0,0.18309859154929578,0.16,0.46047620994026234,0.3173913043478261,7,0.37,0.7412191864441592,1.3972904851921866,1.6302727374664818,53.25,8.090434782608698,7.411609736978913,23,U,G,T,L
0,0.125,0.0,,,12,,,,,27.0,,,0,U,H,T,L
0,0.34782608695652173,0.07,0.3871876621410937,0.22,7,0.46714285714285714,0.8170443247287313,4.237819983484723,5.147867412281625,17.25,17.008,19.46034913796329,15,U,G,T,L
0,0.0,0.0,,,6,,,,,50.25,,,0,U,G,T,L
0,0.07352941176470588,0.13,0.3964105250215061,0.2725,5,0.310625,0.4315458896093319,3.052627487562189,3.892076067506524,25.5,12.846666666666666,17.883968693550212,24,U,G,T,L
0,0.15,0.23,0.7747974118514882,0.3988235294117647,3,0.2939583333333333,0.8964605094679079,1.8515277777777779,3.9646077963634783,37.5,16.327058823529413,26.10920234436172,17,U,H,N,L
0,0.25,0.25,0.4291801537764816,0.2542857142857143,6,0.4403333333333333,1.0153788798586088,1.012962962962963,1.9097025591996468,69.0,19.108571428571427,22.774076645013885,14,U,G,N,L
0,0.14285714285714285,0.07,0.11208562268724215,0.11642857142857142,9,0.15454545454545454,0.29891565395913644,2.893228582117471,4.903747529980785,26.25,16.005714285714287,21.196521381616343,14,U,G,T,L
0,0.4074074074074074,0.23,0.5483112602302073,0.475,6,0.434,0.5272807601268985,3.3361581920903958,3.9010003919517904,20.25,10.632727272727273,10.65252135672167,22,U,H,T,L
0,0.1111111111111111,0.16,0.39580003368704586,0.3508,7,0.30767441860465117,0.39291848911945576,2.1342635658914726,2.5451376700616564,33.75,10.1808,11.271776671551532,25,U,G,T,L
0,0.4492753623188406,0.0,,,9,,,,,51.75,,,0,U,G,T,V
0,0.05,0.15,0.386693246212895,0.30125,9,0.27938775510204084,0.3535440104809283,1.9096474953617812,2.1897393800977234,37.5,11.135,8.597858648136368,16,U,G,T,L
0,0.375,0.1,2.991916833715349,1.0561111111111112,10,0.870909090909091,2.721854950634654,2.2424242424242418,2.8459391564360823,18.0,6.608888888888888,7.622672751029067,18,U,H,T,V
0,0.38571428571428573,0.27,1.8575736082709957,0.8716666666666667,4,0.8294202898550725,1.5829504136059374,1.2129468599033817,2.526075084271191,52.5,9.4975,17.01610011264268,24,U,H,N,V
0,0.35714285714285715,0.19,1.6104358225218223,0.5865384615384616,2,1.7391176470588234,4.967098029455891,2.5796248934356356,2.4783132602304367,26.25,10.384615384615385,8.975437250973005,26,U,H,N,V
0,0.65,0.14,0.17880369189118586,0.17473684210526316,1,1.1247368421052633,3.0944437886813643,2.44093567251462,2.7730688077230883,30.0,12.200000000000001,11.42174145118763,19,U,G,T,L
0,0.0,0.11,0.10944666019834241,0.09642857142857142,7,0.16097560975609757,0.1899053037443765,2.218454623570626,3.3382122664282825,32.25,16.422857142857143,18.275840053752102,14,U,G,T,L
0,0.35,0.16,0.6135950959704143,0.33214285714285713,6,0.518421052631579,1.0018267809378363,2.561769005847953,2.2236635185427867,30.0,9.408571428571431,9.067067684875656,28,U,G,T,L
0,0.4358974358974359,0.2,0.2343391456091687,0.20071428571428573,4,0.5716216216216217,1.0557212213919436,2.5958908548836606,3.4770850706159697,29.25,18.851428571428574,19.803660445305738,14,U,G,N,L
0,0.22,0.16,0.42966327084798567,0.25,6,0.46520833333333333,1.4857707929861792,2.0175462962962962,2.1378639459877133,37.5,14.668000000000001,12.317382497062733,20,U,G,T,L
0,0.0,0.11,0.2377875452303309,0.183125,9,0.1525,0.23899093427715343,2.2290780141843975,3.697527572741414,30.75,17.935,22.15532501830354,16,U,G,T,L
0,0.4827586206896552,0.67,1.6195555297550357,0.8229629629629629,5,0.8014285714285714,1.5933605629605256,2.7722043873729274,2.770552410705107,21.75,7.561851851851854,7.488713578054048,27,U,H,N,V
0,0.26666666666666666,0.21,3.454643339921012,1.1983333333333333,5,1.1092307692307692,3.323134718751914,4.93927125506073,5.1733799820156525,11.25,15.139999999999995,14.87026563313514,12,U,H,T,V
0,0.2222222222222222,0.13,0.6100921085806479,0.3746666666666667,14,0.3284,0.5233838616796153,3.5785669781931464,4.034405783937761,20.25,15.719999999999997,14.430285612459057,15,U,G,T,L
